,Food name,Category number,Category name,Protein (g),Water (g),"Fiber, total dietary (g)","Vitamin A, RAE (mcg)",Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Vitamin B-12 (mcg),"Folate, total (mcg)",Vitamin C (mg),Calcium (mg),Iron (mg),Magnesium (mg),Potassium (mg),Sodium (mg),Zinc (mg),Energy (kcal),"Sugars, total (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Vitamin D (D2 + D3) (mcg),Category 2,Category 3
0,"Milk, human",9602,Human milk,1.03,87.5,0.0,61,0.014,0.036,0.177,0.011,0.05,5,5.0,32,0.03,3,51,17,0.17,70,6.89,4.38,2.009,1.658,0.497,14,0.1,Milks,Animal
1,"Milk, NFS",1004,"Milk, reduced fat",3.34,89.04,0.0,59,0.057,0.137,0.11,0.06,0.56,1,0.1,126,0.0,12,157,39,0.42,51,4.89,1.99,1.164,0.426,0.065,8,1.1,Milks,Animal
2,"Milk, whole",1002,"Milk, whole",3.28,88.1,0.0,32,0.056,0.138,0.105,0.061,0.54,0,0.0,123,0.0,12,150,38,0.41,60,4.81,3.2,1.86,0.688,0.108,12,1.1,Milks,Animal
3,"Milk, low sodium, whole",1002,"Milk, whole",3.1,88.2,0.0,29,0.02,0.105,0.043,0.034,0.36,5,0.9,101,0.05,5,253,3,0.38,61,4.46,3.46,2.154,0.999,0.128,14,1.3,Milks,Animal
4,"Milk, calcium fortified, whole",1002,"Milk, whole",3.28,88.1,0.0,32,0.056,0.138,0.105,0.061,0.54,0,0.0,123,0.0,12,150,38,0.41,60,4.81,3.2,1.86,0.688,0.108,12,1.1,Milks,Animal
5,"Milk, calcium fortified, low fat (1%)",1006,"Milk, lowfat",3.38,89.7,0.0,58,0.057,0.14,0.113,0.06,0.61,2,0.0,126,0.0,12,159,39,0.43,43,4.96,0.95,0.568,0.21,0.032,5,1.1,Milks,Animal
6,"Milk, calcium fortified, fat free (skim)",1008,"Milk, nonfat",3.4,90.8,0.0,137,0.036,0.14,0.088,0.04,0.38,5,1.0,204,0.04,11,166,52,0.4,35,4.85,0.18,0.117,0.047,0.007,2,1.2,Milks,Animal
7,"Milk, reduced fat (2%)",1004,"Milk, reduced fat",3.35,89.1,0.0,83,0.059,0.137,0.112,0.061,0.55,2,0.2,126,0.0,12,159,39,0.43,50,4.89,1.9,1.11,0.4,0.058,8,1.1,Milks,Animal
8,"Milk, acidophilus, low fat (1%)",1006,"Milk, lowfat",3.38,89.7,0.0,58,0.057,0.14,0.113,0.06,0.61,2,0.0,126,0.0,12,159,39,0.43,43,4.96,0.95,0.568,0.21,0.032,5,1.1,Milks,Animal
9,"Milk, acidophilus, reduced fat (2%)",1004,"Milk, reduced fat",3.35,89.1,0.0,83,0.059,0.137,0.112,0.061,0.55,2,0.2,126,0.0,12,159,39,0.43,50,4.89,1.9,1.11,0.4,0.058,8,1.1,Milks,Animal
