,vAr_nAmE,var_descr,file_name,file_descr,start_year,end_year,component,constraint
0,AIALANGA,Language of the MEC ACASI Interview Instrument,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
1,DMDBORN4,In what country {were you/was SP} born?,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
2,DMDCITZN,{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Service to perform health related research. Providing this information is voluntary and is collected under the authority of the Public Health Service Act. There will be no effect on pending immigration or citizenship petitions.],DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
3,DMDEDUC2,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
4,DMDEDUC3,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
5,DMDFMSIZ,Total number of people in the Family,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
6,DMDHHSIZ,Total number of people in the Household,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
7,DMDHHSZA,Number of children aged 5 years or younger in the household,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
8,DMDHHSZB,Number of children aged 6-17 years old in the household,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
9,DMDHHSZE,Number of adults aged 60 years or older in the household,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
10,DMDHRAGZ,HH reference person's age in years,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
11,DMDHREDZ,HH reference person's education level,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
12,DMDHRGND,HH reference person's gender,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
13,DMDHRMAZ,HH reference person's marital status,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
14,DMDHSEDZ,HH reference person's spouse's education level,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
15,DMDMARTL,Marital status,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
16,DMDYRSUS,Length of time the participant has been in the US.,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
17,DMQADFC,"Did {you/SP} ever serve in a foreign country during a time of armed conflict or on a humanitarian or peace-keeping mission? (This would include National Guard or reserve or active duty monitoring or conducting peace keeping operations in Bosnia and Kosovo, in the Sinai between Egypt and Israel, or in response to the 2004 tsunami or Haiti in 2010.)",DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
18,DMQMILIZ,"{Have you/Has SP} ever served on active duty in the U.S. Armed Forces, military Reserves, or National Guard? (Active duty does not include training for the Reserves or National Guard, but does include activation, for service in the U.S. or in a foreign country, in support of military or humanitarian operations.)",DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
19,FIAINTRP,Was an interpreter used to conduct the Family interview?,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
20,FIALANG,Language of the Family Interview Instrument,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
21,FIAPROXY,Was a Proxy respondent used in conducting the Family Interview?,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
22,INDFMIN2,Total family income (reported as a range value in dollars),DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
23,INDFMPIR,A ratio of family income to poverty guidelines.,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
24,INDHHIN2,Total household income (reported as a range value in dollars),DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
25,MIAINTRP,Was an interpreter used to conduct the MEC CAPI interview?,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
26,MIALANG,Language of the MEC CAPI Interview Instrument,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
27,MIAPROXY,Was a Proxy respondent used in conducting the MEC CAPI Interview?,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
28,RIAGENDR,Gender of the participant.,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
29,RIDAGEMN,Age in months of the participant at the time of screening. Reported for persons aged 24 months or younger at the time of exam (or screening if not examined).,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
30,RIDAGEYR,Age in years of the participant at the time of screening. Individuals 80 and over are topcoded at 80 years of age.,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
31,RIDEXAGM,Age in months of the participant at the time of examination. Reported for persons aged 19 years or younger at the time of examination.,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
32,RIDEXMON,"Six month time period when the examination was performed - two categories: November 1 through April 30, May 1 through October 31.",DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
33,RIDEXPRG,Pregnancy status for females between 20 and 44 years of age at the time of MEC exam.,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
34,RIDRETH1,Recode of reported race and Hispanic origin information,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
35,RIDRETH3,"Recode of reported race and Hispanic origin information, with Non-Hispanic Asian Category",DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
36,RIDSTATR,Interview and examination status of the participant.,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
37,SDDSRVYR,Data release cycle,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
38,SDMVPSU,Masked variance unit pseudo-PSU variable for variance estimation,DEMO_J,Demographic Variables and Sample Weights,2017,2018,Demographics,None
