,var_name,var_descr,file_name,file_descr,start_year,end_year,component,constraint
0,BPAARM,Arm selected:,BPX_J,Blood Pressure ,2017,2018,Examination,None
1,BPACSZ,Cuff size (cm) (width X length),BPX_J,Blood Pressure ,2017,2018,Examination,None
2,BPAEN1,Enhancement used first reading,BPX_J,Blood Pressure ,2017,2018,Examination,None
3,BPAEN2,Enhancement used second reading,BPX_J,Blood Pressure ,2017,2018,Examination,None
4,BPAEN3,Enhancement used third reading,BPX_J,Blood Pressure ,2017,2018,Examination,None
5,BPAEN4,Enhancement used fourth reading,BPX_J,Blood Pressure ,2017,2018,Examination,None
6,BPXCHR,60 sec HR (30 sec HR * 2),BPX_J,Blood Pressure ,2017,2018,Examination,None
7,BPXDI1,Diastolic:  Blood pressure (first reading) mm Hg,BPX_J,Blood Pressure ,2017,2018,Examination,None
8,BPXDI2,Diastolic: Blood pressure (second reading) mm Hg,BPX_J,Blood Pressure ,2017,2018,Examination,None
9,BPXDI3,Diastolic: Blood pressure (third reading) mm Hg,BPX_J,Blood Pressure ,2017,2018,Examination,None
10,BPXDI4,Diastolic: Blood pressure (fourth reading if necessary) mm Hg,BPX_J,Blood Pressure ,2017,2018,Examination,None
11,BPXML1,MIL: maximum inflation levels (mm Hg),BPX_J,Blood Pressure ,2017,2018,Examination,None
12,BPXPLS,60 sec. pulse (30 sec. pulse * 2),BPX_J,Blood Pressure ,2017,2018,Examination,None
13,BPXPTY,Pulse type,BPX_J,Blood Pressure ,2017,2018,Examination,None
14,BPXPULS,Pulse regular or irregular?,BPX_J,Blood Pressure ,2017,2018,Examination,None
15,BPXSY1,Systolic:  Blood pressure (first reading) mm Hg,BPX_J,Blood Pressure ,2017,2018,Examination,None
16,BPXSY2,Systolic:  Blood pressure (second reading) mm Hg,BPX_J,Blood Pressure ,2017,2018,Examination,None
17,BPXSY3,Systolic:  Blood pressure (third reading) mm Hg,BPX_J,Blood Pressure ,2017,2018,Examination,None
18,BPXSY4,Systolic:  Blood pressure (fourth reading if necessary) mm Hg,BPX_J,Blood Pressure ,2017,2018,Examination,None
19,PEASCCT1,Blood Pressure Comment,BPX_J,Blood Pressure ,2017,2018,Examination,None
20,SEQN,Respondent sequence number.,BPX_J,Blood Pressure ,2017,2018,Examination,None
21,BMDSTATS,Body Measures Component status Code,BMX_J,Body Measures,2017,2018,Examination,None
22,BMIARMC,Arm Circumference Comment,BMX_J,Body Measures,2017,2018,Examination,None
23,BMIARML,Upper Arm Length Comment,BMX_J,Body Measures,2017,2018,Examination,None
24,BMIHEAD,Head Circumference Comment,BMX_J,Body Measures,2017,2018,Examination,None
25,BMIHIP,Hip Circumference Comment,BMX_J,Body Measures,2017,2018,Examination,None
26,BMIHT,Standing Height Comment,BMX_J,Body Measures,2017,2018,Examination,None
27,BMILEG,Upper Leg Length Comment,BMX_J,Body Measures,2017,2018,Examination,None
28,BMIRECUM,Recumbent Length Comment,BMX_J,Body Measures,2017,2018,Examination,None
29,BMIWAIST,Waist Circumference Comment,BMX_J,Body Measures,2017,2018,Examination,None
30,BMIWT,Weight Comment,BMX_J,Body Measures,2017,2018,Examination,None
31,BMXARMC,Arm Circumference (cm),BMX_J,Body Measures,2017,2018,Examination,None
32,BMXARML,Upper Arm Length (cm),BMX_J,Body Measures,2017,2018,Examination,None
33,BMXBMI,Body Mass Index (kg/m**2),BMX_J,Body Measures,2017,2018,Examination,None
34,BMXHEAD,Head Circumference (cm),BMX_J,Body Measures,2017,2018,Examination,None
35,BMXHIP,Hip Circumference (cm),BMX_J,Body Measures,2017,2018,Examination,None
36,BMXHT,Standing Height (cm),BMX_J,Body Measures,2017,2018,Examination,None
37,BMXLEG,Upper Leg Length (cm),BMX_J,Body Measures,2017,2018,Examination,None
38,BMXRECUM,Recumbent Length (cm),BMX_J,Body Measures,2017,2018,Examination,None
39,BMXWAIST,Waist Circumference (cm),BMX_J,Body Measures,2017,2018,Examination,None
40,BMXWT,Weight (kg),BMX_J,Body Measures,2017,2018,Examination,None
41,SEQN,Respondent sequence number.,BMX_J,Body Measures,2017,2018,Examination,None
42,OHDDESTS,Dentition Status Code,OHXDEN_J,Oral Health - Dentition ,2017,2018,Examination,None
