,var_name,var_descr,file_name,file_descr,start_year,end_year,component,constraint
0,BPD035,How old {were you/was SP} when {you were/he/she was} first told that {you/he/she} had hypertension or high blood pressure?,BPQ_J,Blood Pressure & Cholesterol,2017,2018,Questionnaire,None
1,BPQ020,"{Have you/Has SP} ever been told by a doctor or other health professional that {you/s/he} had hypertension, also called high blood pressure?",BPQ_J,Blood Pressure & Cholesterol,2017,2018,Questionnaire,None
2,BPQ030,"{Were you/Was SP} told on 2 or more different visits that {you/s/he} had hypertension, also called high blood pressure?",BPQ_J,Blood Pressure & Cholesterol,2017,2018,Questionnaire,None
3,BPQ040A,"Because of {your/SP's} (high blood pressure/hypertension), {have you/has s/he} ever been told to . . . take prescribed medicine?",BPQ_J,Blood Pressure & Cholesterol,2017,2018,Questionnaire,None
4,BPQ050A,{Are you/Is SP} now taking prescribed medicine?,BPQ_J,Blood Pressure & Cholesterol,2017,2018,Questionnaire,None
5,BPQ060,{Have you/Has SP} ever had {your/his/her} blood cholesterol checked?,BPQ_J,Blood Pressure & Cholesterol,2017,2018,Questionnaire,None
6,BPQ070,About how long has it been since {you/SP} last had {your/his/her} blood cholesterol checked?  Has it been...,BPQ_J,Blood Pressure & Cholesterol,2017,2018,Questionnaire,None
7,BPQ080,{Have you/Has SP} ever been told by a doctor or other health professional that {your/his/her} blood cholesterol level was high?,BPQ_J,Blood Pressure & Cholesterol,2017,2018,Questionnaire,None
8,BPQ090D,"[To lower (your/his/her) blood cholesterol, (have/has) (you/SP) ever been told by a doctor or other health professional]... to take prescribed medicine?",BPQ_J,Blood Pressure & Cholesterol,2017,2018,Questionnaire,None
9,BPQ100D,(Are you/Is SP) now following this advice to take prescribed medicine?,BPQ_J,Blood Pressure & Cholesterol,2017,2018,Questionnaire,None
10,SEQN,Respondent sequence number.,BPQ_J,Blood Pressure & Cholesterol,2017,2018,Questionnaire,None
11,HUD080,"How many different times did {you/SP} stay in any hospital overnight or longer {during the past 12 months}? (Do not count total number of nights, just total number of hospital admissions for stays which lasted 1 or more nights.)",HUQ_J,Hospital Utilization & Access to Care,2017,2018,Questionnaire,None
12,HUQ010,{First/Next} I have some general questions about {your/SP's} health.  Would you say {your/SP's} health in general is . . .,HUQ_J,Hospital Utilization & Access to Care,2017,2018,Questionnaire,None
13,HUQ020,"Compared with 12 months ago, would you say {your/SP's} health is now . . .",HUQ_J,Hospital Utilization & Access to Care,2017,2018,Questionnaire,None
14,HUQ030,Is there a place that {you/SP} usually {go/goes} when {you are/he/she is} sick or {you/s/he} need{s} advice about {your/his/her} health?,HUQ_J,Hospital Utilization & Access to Care,2017,2018,Questionnaire,None
15,HUQ041,"{What kind of place is it - a clinic, doctor's office, emergency room, or some other place?} {What kind of place {do you/does SP} go to most often - a clinic, doctor's office, emergency room, or some other place?}",HUQ_J,Hospital Utilization & Access to Care,2017,2018,Questionnaire,None
16,HUQ051,"{During the past 12 months, how/How} many times {have you/has SP} seen a doctor or other health care professional about {your/his/her} health at a doctor's office, a clinic or some other place?  Do not include times {you were/s/he was} hospitalized overnight, visits to hospital emergency rooms, home visits or telephone calls.",HUQ_J,Hospital Utilization & Access to Care,2017,2018,Questionnaire,None
17,HUQ061,About how long has it been since {you/SP} last saw or talked to a doctor or other health care professional about {your/his/her} health?  Include doctors seen while {you were} {he/she was} a patient in a hospital.  Has it been . . .,HUQ_J,Hospital Utilization & Access to Care,2017,2018,Questionnaire,None
18,HUQ071,"{During the past 12 months, were you/{was} SP} a patient in a hospital overnight?  Do not include an overnight stay in the emergency room.",HUQ_J,Hospital Utilization & Access to Care,2017,2018,Questionnaire,None
19,HUQ090,"During the past 12 months, that is since {DISPLAY CURRENT MONTH} of {DISPLAY LAST YEAR}, {have you/has SP} seen or talked to a mental health professional such as a psychologist, psychiatrist, psychiatric nurse or clinical social worker about {your/his/her} health?",HUQ_J,Hospital Utilization & Access to Care,2017,2018,Questionnaire,None
20,SEQN,Respondent sequence number.,HUQ_J,Hospital Utilization & Access to Care,2017,2018,Questionnaire,None
21,HEQ010,Has a doctor or other health professional ever told {you/SP} that {you have/s/he/SP has} Hepatitis B? (Hepatitis is a form of liver disease. Hepatitis B is an infection of the liver from the Hepatitis B virus (HBV).),HEQ_J,Hepatitis,2017,2018,Questionnaire,None
22,HEQ020,Please look at the drugs on this card that are prescribed for Hepatitis B. {Were you/Was/s/he/SP} ever prescribed any medicine to treat Hepatitis B?,HEQ_J,Hepatitis,2017,2018,Questionnaire,None
23,HEQ030,Has a doctor or other health professional ever told {you/SP} that {you have/s/he/SP has} Hepatitis C? (Hepatitis is a form of liver disease. Hepatitis C is an infection of the liver from the Hepatitis C virus (HCV).),HEQ_J,Hepatitis,2017,2018,Questionnaire,None
24,HEQ040,Please look at the drugs on this card that are prescribed for Hepatitis C. {Were you/ Was/s/he/SP} ever prescribed any medicine to treat Hepatitis C?,HEQ_J,Hepatitis,2017,2018,Questionnaire,None
25,SEQN,Respondent sequence number.,HEQ_J,Hepatitis,2017,2018,Questionnaire,None
26,CDQ001,{Have you/Has SP} ever had any pain or discomfort in {your/her/his} chest?,CDQ_J,Cardiovascular Health,2017,2018,Questionnaire,None
27,CDQ002,{Do you/Does she/Does he} get it when {you/she/he} walk uphill or hurry?,CDQ_J,Cardiovascular Health,2017,2018,Questionnaire,None
28,CDQ003,{Do you/Does she/Does he} get it when {you/she/he} walk at an ordinary pace on level ground?,CDQ_J,Cardiovascular Health,2017,2018,Questionnaire,None
29,CDQ004,What {do you/does she/does he} do if {you/she/he} get it while {you/she/he} are walking?  {Do you/Does she/Does he} stop or slow down or continue at the same pace?,CDQ_J,Cardiovascular Health,2017,2018,Questionnaire,None
30,CDQ005,"If {you/she/he} stand still, what happens to it?  Is the pain or discomfort relieved or not relieved?",CDQ_J,Cardiovascular Health,2017,2018,Questionnaire,None
31,CDQ006,How soon is the pain relieved?  Would you say...,CDQ_J,Cardiovascular Health,2017,2018,Questionnaire,None
32,CDQ008,Have {you/she/he} ever had a severe pain across the front of {your/her/his} chest lasting for half an hour or more?,CDQ_J,Cardiovascular Health,2017,2018,Questionnaire,None
33,CDQ009A,Please look at this card and show me where the pain or discomfort is located.,CDQ_J,Cardiovascular Health,2017,2018,Questionnaire,None
